Cu_Si_8_11_19

08.11.2019 11:56
Sekunden	Kelvin	Ohm	Ohm	Ohm
Zeit	Temperatur	R_Probe_1	R_Thermometer	R_Probe_2
1.170001E+2	3.881899E+1	6.835000E-2	5.569270E+0	1.131390E+4
1.180000E+2	3.902118E+1	6.906000E-2	5.566970E+0	1.121660E+4
1.190002E+2	3.917070E+1	6.969000E-2	5.565280E+0	1.109310E+4
1.200000E+2	3.935406E+1	6.976000E-2	5.563220E+0	1.097870E+4
1.210000E+2	3.940411E+1	7.081000E-2	5.562660E+0	1.084580E+4
1.220000E+2	3.961516E+1	7.126000E-2	5.560310E+0	1.071130E+4
1.229999E+2	3.977518E+1	7.155000E-2	5.558540E+0	1.057480E+4
1.239999E+2	3.994889E+1	7.214000E-2	5.556630E+0	1.044440E+4
1.249999E+2	4.007506E+1	7.269000E-2	5.555250E+0	1.031610E+4
1.260006E+2	4.016501E+1	7.287000E-2	5.554270E+0	1.018810E+4
1.270008E+2	4.033559E+1	7.346000E-2	5.552420E+0	1.006070E+4
1.280009E+2	4.042173E+1	7.384000E-2	5.551490E+0	9.926500E+3
1.290009E+2	4.063962E+1	7.449000E-2	5.549150E+0	9.827100E+3
1.300008E+2	4.086107E+1	7.477000E-2	5.546790E+0	9.757300E+3
1.310008E+2	4.066394E+1	7.508000E-2	5.548890E+0	9.641100E+3
1.320012E+2	4.087897E+1	7.526000E-2	5.546600E+0	9.542100E+3
1.330008E+2	4.104059E+1	7.620000E-2	5.544890E+0	9.269200E+3
1.340007E+2	4.127279E+1	7.683000E-2	5.542450E+0	8.941800E+3
1.350007E+2	4.145488E+1	7.816000E-2	5.540550E+0	8.477600E+3
1.360006E+2	4.237069E+1	8.067000E-2	5.531170E+0	8.058800E+3
1.370006E+2	4.350923E+1	8.508000E-2	5.519900E+0	7.775900E+3
1.380005E+2	4.462833E+1	8.691000E-2	5.509220E+0	7.699200E+3
1.390004E+2	4.507951E+1	9.088000E-2	5.505020E+0	7.896200E+3
1.400005E+2	4.832630E+1	9.534000E-2	5.476440E+0	8.325500E+3
1.410012E+2	5.107262E+1	1.011000E-1	5.454280E+0	6.552100E+3
1.420015E+2	5.340922E+1	1.077600E-1	5.436690E+0	5.308100E+3
1.430015E+2	5.528670E+1	1.145300E-1	5.423310E+0	4.557300E+3
1.440018E+2	5.682437E+1	1.215400E-1	5.412810E+0	4.176000E+3
1.450016E+2	5.811718E+1	1.291200E-1	5.404280E+0	3.942300E+3
1.460012E+2	5.897384E+1	1.359700E-1	5.398770E+0	3.787200E+3
